Agent,Tick,Contamination Load Aerosol,Contamination Load Droplet,Accumulated Contamination Load Surface,Contamination Load Face
Oscar,0,0.0,0.0,0.0,0.0
Garcon,1,0.0,0.0,1,8.340000000000001e-05
Oscar,1,0.0,0.0,0.0031300020000000002,2.6104216680000005e-07
Vigo,1,0.0,0.0,0.0029890392299280004,2.4928587177599524e-07
Garcon,2,0.0,0.0,1,8.340000000000001e-05
Oscar,2,0.0,0.0,0.00909176487735954,7.582531907717856e-07
Vigo,2,0.0,0.0,0.008682906768070545,7.241544244570835e-07
Garcon,3,0.0,0.0,1,8.340000000000001e-05
Oscar,3,0.0,0.0,0.017616608329093553,1.4692251346464024e-06
Vigo,3,0.0,0.0,0.016825524292933425,1.4032487260306479e-06
Garcon,4,3.7900618612473877e-07,0.0,1,8.340000000000001e-05
Oscar,4,4.848731601684705e-06,0.0,0.028462411119315377,2.3737650873509026e-06
Vigo,4,3.635578954943191e-06,0.0,0.027186091627832157,2.267320041761202e-06
